x,y,zone,city_name,id,name
-165.5773440069221,39.530817932355355,commercial,Lomark,48344443,NA
-165.57686227954264,39.529918956058744,commercial,Lomark,48344507,NA
-165.5768340350021,39.531581635079455,commercial,Lomark,48524007,NA
-165.57799901912702,39.53108604677386,commercial,Lomark,2135056313,NA
-165.57874029626592,39.5304065764409,commercial,Lomark,2128118357,NA
-165.5747499936116,39.54056776950603,commercial,Lomark,48344633,NA
-165.57531017352153,39.54023822957141,commercial,Lomark,48389218,NA
-165.5827784310209,39.50399203100435,residential,Lomark,48344789,NA
-165.58250698829806,39.50488567841706,residential,Lomark,48344792,NA
-165.58188697048203,39.50330917605809,residential,Lomark,48551825,NA
-165.58365200810064,39.50466431089081,residential,Lomark,48347291,NA
-165.5822376144863,39.50578990928887,residential,Lomark,48344794,NA
-165.58161045147975,39.50421603109687,residential,Lomark,48551826,NA
-165.5833765758896,39.5055422483072,residential,Lomark,48347294,NA
-165.58196472272536,39.50668404689393,residential,Lomark,48344796,Harbor Terraces
-165.58133752837216,39.505105914407956,residential,Lomark,48551828,NA
-165.58311614989628,39.50644477725522,residential,Lomark,48347298,NA
-165.58167332500437,39.50755873123595,residential,Lomark,48344799,NA
-165.58107424782713,39.50599969912734,residential,Lomark,48477437,NA
-165.58284575384135,39.50735063754991,residential,Lomark,48347305,NA
-165.58255708124923,39.50823564195358,residential,Lomark,48347312,NA
-165.5814327714935,39.50834748033322,residential,Lomark,48344803,NA
-165.5807978677976,39.50689319487399,residential,Lomark,48551833,NA
-165.58120849829834,39.509123827764405,residential,Lomark,48344806,NA
-165.58230904472566,39.509012430092646,residential,Lomark,48347318,NA
-165.58055280999275,39.5076815423052,residential,Lomark,48551836,NA
-165.5809797401667,39.50988740705777,residential,Lomark,48344811,NA
-165.58031697865601,39.508433270447945,residential,Lomark,48521602,NA
-165.58207883230003,39.50978089047491,residential,Lomark,48347324,NA
-165.58074930068838,39.51064387417325,residential,Lomark,48344815,NA
-165.58009736404884,39.50920288679024,residential,Lomark,48541044,NA
-165.58184078589977,39.51053378201511,residential,Lomark,48347328,NA
-165.57901555972543,39.511952346738276,residential,Lomark,48470516,NA
-165.5747812943431,39.51760718396333,residential,Lomark,48345325,NA
-165.57568594518537,39.51924948518528,residential,Lomark,48345339,NA
-165.57466642429003,39.51642042319515,residential,Lomark,48506286,NA
-165.57435216698713,39.517537513579846,residential,Lomark,48540687,NA
-165.57502966696,39.51956337795503,residential,Lomark,48552719,NA
-165.5766000648697,39.520873386922666,residential,Lomark,48345347,NA
-165.5775872330766,39.5225984124127,residential,Lomark,48345355,NA
-165.57594480581315,39.52120724494464,residential,Lomark,48546711,NA
-165.57809436652582,39.52229199331294,residential,Lomark,691146784,NA
-165.57708292686874,39.52289072843809,residential,Lomark,48557906,NA
-165.58451671556514,39.50532242815303,residential,Lomark,948850249,NA
-165.58424797450837,39.506215554988565,residential,Lomark,948849970,NA
-165.58397718607952,39.5071029356717,residential,Lomark,48476769,NA
-165.58370072662711,39.507998093853935,residential,Lomark,48476773,NA
-165.5834348365322,39.50889915870034,residential,Lomark,48476780,NA
-165.5832045951992,39.50969176901351,residential,Lomark,48476784,NA
-165.5829679480948,39.51045528420523,residential,Lomark,48476787,NA
-165.58160301078084,39.51128074342831,residential,Lomark,48347332,NA
-165.58272085458023,39.51120150568378,residential,Lomark,48476809,NA
-165.5815426221448,39.512407147242506,residential,Lomark,48347358,NA
-165.58247200939962,39.51194989318774,residential,Lomark,48476823,NA
-165.58083062756722,39.512573536459435,residential,Lomark,48552710,NA
-165.58194556512177,39.51334306495114,residential,Lomark,48505785,NA
-165.56538412839836,39.51282081509988,tourism,Lomark,48356985,NA
-165.56490325243715,39.51307131350291,tourism,Lomark,48356998,NA
-165.56589802264912,39.51225830605194,tourism,Lomark,48510791,NA
-165.56554371823188,39.513315032799916,tourism,Lomark,3348139882,NA
-165.56451938568048,39.513269036777054,tourism,Lomark,48357005,NA
-165.56710171703207,39.518328165880014,tourism,Lomark,48448892,NA
-165.5637193102582,39.51372726549577,tourism,Lomark,48357008,NA
-165.56667730238792,39.51843105815281,tourism,Lomark,48553240,NA
-165.56300473196376,39.5138983795838,tourism,Lomark,48357026,NA
-165.56323498914344,39.51429879671782,tourism,Lomark,2130143288,NA
-165.55149278571227,39.512590303782225,tourism,Lomark,48483935,Saltwater Serenades
-165.5968154763158,39.51836190664327,tourism,Lomark,48358306,NA
-165.59665960987604,39.51784313805042,tourism,Lomark,48510657,NA
-165.59726838549693,39.5181873683562,tourism,Lomark,48358308,NA
-165.5968724347842,39.518518161604426,tourism,Lomark,48510654,NA
-165.60262661296855,39.52020369057556,tourism,Lomark,48480441,NA
-165.59749888871872,39.53385821164762,residential,Lomark,48366338,NA
-165.59786500097914,39.53409393668395,residential,Lomark,48366339,NA
-165.59855881628684,39.53572806004798,residential,Lomark,48578053,NA
-165.59837510484886,39.53355486250346,residential,Lomark,48558839,NA
-165.59507396463857,39.51363531993636,tourism,Lomark,48369199,NA
-165.59676812596422,39.51531589342856,tourism,Lomark,48532403,The Admiral's Table
-165.59524090209828,39.51574626409823,tourism,Lomark,48510598,NA
-165.59386904207852,39.51266313284314,tourism,Lomark,48557882,NA
-165.59733971337008,39.52794151185649,residential,Lomark,48374016,NA
-165.59691131562067,39.52725850518866,residential,Lomark,48468342,NA
-165.59792947801427,39.52812501418473,residential,Lomark,48374023,NA
-165.5987284844379,39.52746013390604,residential,Lomark,48510575,NA
-165.57241810311083,39.50636801668103,residential,Lomark,48384327,NA
-165.57219798831497,39.507167366671105,residential,Lomark,48502938,NA
-165.5732039869929,39.50695120749362,residential,Lomark,48556124,NA
-165.57142992763798,39.506614646555285,residential,Lomark,48502944,NA
-165.5758038340333,39.541084474659506,commercial,Lomark,48510013,NA
-165.57359120776013,39.540029093536226,commercial,Lomark,2512003434,NA
-165.61012630746848,39.53276054249066,commercial,Lomark,48394734,NA
-165.61113302535222,39.53287582901422,commercial,Lomark,48493357,NA
-165.6090798746309,39.531344667649286,residential,Lomark,2148550208,NA
